SrcIp,DstIp,TotBytes,SrcBytes,DstBytes,TotPkts,SrcPkts,DstPkts,Rate,SrcRate,DstRate,Dur,RunTime,TcpRtt,SynAck,AckDat,Seq,Proto
0.0.0.0,0.0.0.0,66,66,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.034051,0.001364,0.032687,25012,udp
0.0.0.0,0.0.0.0,66,66,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.034051,0.001364,0.032687,25012,udfp
0.0.0.0,0.0.0.0,4529,714,3815,10,5,5,143.195816,63.642586,63.642586,0.062851,0.062851,0.03802,0.014252,0.023768,844,tcp
0.0.0.0,0.0.0.0,66,66,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.034051,0.001364,0.032687,25012,udp
0.0.0.0,0.0.0.0,66,66,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.034051,0.001364,0.032687,25012,udp
0.0.0.0,0.0.0.0,66,66,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.034051,0.001364,0.032687,25012,udp
0.0.0.0,0.0.0.0,66,66,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.034051,0.001364,0.032687,25012,udp
0.0.0.0,0.0.0.0,4529,714,3815,10,5,5,143.195816,63.642586,63.642586,0.062851,0.062851,0.03802,0.014252,0.023768,844,tcp
0.0.0.0,0.0.0.0,4529,714,3815,10,5,5,143.195816,63.642586,63.642586,0.062851,0.062851,0.03802,0.014252,0.023768,844,tcp
0.0.0.0,0.0.0.0,249093,244212,4881,214,196,18,42.616875,39.01545,3.401347,4.99802,4.99802,0.034051,0.001364,0.032687,3,udp
0.0.0.0,0.0.0.0,4529,714,3815,10,5,5,143.195816,63.642586,63.642586,0.062851,0.062851,0.03802,0.014252,0.023768,844,tcp
0.0.0.0,0.0.0.0,249093,244212,4881,214,196,18,42.616875,39.01545,3.401347,4.99802,4.99802,0.034051,0.001364,0.032687,3,udp
0.0.0.0,0.0.0.0,249093,244212,4881,214,196,18,42.616875,39.01545,3.401347,4.99802,4.99802,0.034051,0.001364,0.032687,3,udp
0.0.0.0,0.0.0.0,4529,714,3815,10,5,5,143.195816,63.642586,63.642586,0.062851,0.062851,0.03802,0.014252,0.023768,844,tcp
0.0.0.0,0.0.0.0,4529,714,3815,10,5,5,143.195816,63.642586,63.642586,0.062851,0.062851,0.03802,0.014252,0.023768,844,tcp
0.0.0.0,0.0.0.0,4529,714,3815,10,5,5,143.195816,63.642586,63.642586,0.062851,0.062851,0.03802,0.014252,0.023768,844,tcp
